V13,V14,p.value,probability,n,p_adju,p_scaled
IPR010374,Protein of unknown function DUF969,0.1526915003172861,0.00009424494679824504,1,0.1875519860679049,7.268783325595667
IPR020829,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain",0.1530458782295734,0.0004199207441812591,6,0.18790811828102572,7.260544564695161
IPR022642,"MCP methyltransferase, CheR-type, SAM-binding domain, C-terminal",0.15365091448121804,0.00009456660190677148,1,0.18857157686331305,7.245237672809428
IPR022628,"S-adenosylmethionine synthetase, N-terminal",0.15488918320768874,0.0002691717166518705,3,0.19001129921481713,7.212205725169784
IPR022310,NAD/GMP synthase,0.15585122709379318,0.0005021036244097629,8,0.1911110926011358,7.187141045951625
IPR003646,"SH3-like domain, bacterial-type",0.15659428635677441,0.0015576148630392548,55,0.1919415464549618,7.168310104484167
IPR002898,MotA/TolQ/ExbB proton channel,0.1612408692278442,0.00009708623359022855,1,0.19755393893629986,7.043143067000978
IPR002481,Ferric-uptake regulator,0.16287249352032795,0.0006669518675295601,4,0.19946921087999844,7.0012413043763555
IPR007527,"Zinc finger, SWIM-type",0.16363567777810167,0.00019679931723342296,2,0.20031974659989274,6.982762378423576
IPR005163,"YiiM-like, 3-alpha helix domain",0.16483816670653445,0.00009826563565482547,1,0.20170713139582647,6.952787469478428
IPR004137,Hydroxylamine reductase/Ni-containing CO dehydrogenase,0.16549521463224928,0.0000984800723938431,1,0.20234131902207084,6.93915423255042
IPR007167,Ferrous iron transporter FeoA domain,0.16547312538975797,0.0005112707950027663,8,0.20234131902207084,6.93915423255042
IPR004299,"Membrane bound O-acyl transferase, MBOAT",0.16710849617275253,0.00027421098001878465,3,0.2041425952407819,6.900663683953603
IPR013528,"Hydroxymethylglutaryl-coenzyme A synthase, N-terminal",0.16710594276853627,0.0001981395468522831,2,0.2041425952407819,6.900663683953603
IPR017459,"Glycosyl transferase family 3, N-terminal domain",0.1678991936787077,0.00033827395580029936,4,0.20502263348706518,6.881981923298599
IPR010930,"Flagellar basal-body/hook protein, C-terminal domain",0.16803872620499333,0.0002745862443120655,3,0.20510712666963604,6.880192493365298
IPR006665,OmpA-like domain,0.16813251407027216,0.00009933781934991359,1,0.20513573683218142,6.8795867431209725
IPR001991,Sodium:dicarboxylate symporter,0.1686872037145081,0.0005928639741989716,10,0.2057264266129258,6.867099173718674
IPR007401,Protein of unknown function DUF454,0.17061809058790478,0.00010014195712122966,1,0.20799429437890063,6.819485782764003
IPR014959,Protein of unknown function DUF1827,0.170784242744416,0.00010019556630598407,1,0.20810984197355498,6.8170738055851485
IPR014787,"Phosphoserine phosphatase RsbU, N-terminal",0.17211545827866492,0.00010062443978401932,1,0.20964439279055427,6.7851674887065325
IPR008585,Poly-gamma-glutamate hydrolase,0.1734502093316368,0.00010105331326205456,1,0.21118196676870685,6.7534316978981295
IPR003008,"Tubulin/FtsZ, GTPase domain",0.175444170623949,0.00027753474947355783,3,0.21352053486620837,6.705603513170647
IPR041492,Haloacid dehalogenase-like hydrolase,0.1780090208083072,0.0015513961976077438,54,0.21655164984439876,6.644385031574642
IPR027365,GNAT acetyltransferase YdfB-like,0.18000696169852282,0.00010314407146747637,1,0.21889086751997186,6.597723575203231
IPR024567,Ribonuclease HII/HIII domain,0.1811522403118374,0.0004382014761825114,6,0.22019171852826921,6.571990189932788
IPR012865,Protein of unknown function DUF1642,0.18187100685473076,0.00010373377249977485,1,0.22097327332849787,6.5566025096589255
IPR011629,"Zinc chaperone CobW-like, C-terminal",0.18277910274022519,0.0003442781844927928,4,0.2218917000793075,6.53858942369938
IPR000917,"Sulfatase, N-terminal",0.18270734242901454,0.0006175778083707525,3,0.2218917000793075,6.53858942369938
IPR001381,3-dehydroquinate dehydratase type I,0.1835304641860922,0.00020430460309903974,2,0.22271112507975233,6.522580881295461
IPR013551,"Endoribonuclease YicC-like, C-terminal",0.18425260928324508,0.00010448430108633652,1,0.2234944295632041,6.50733296872584
IPR013527,"Endoribonuclease YicC-like, N-terminal",0.18442311415142215,0.00010453791027109093,1,0.22360823320812764,6.505122098597186
IPR011113,"Rho termination factor, RNA-binding domain",0.18470067266702572,0.000204733476577075,2,0.22385168807026062,6.500396262444181
IPR032686,"Pyruvate ferredoxin oxidoreductase beta subunit, C-terminal",0.18510565116887587,0.00010475234701010854,1,0.22424930569523974,6.492688929134932
IPR029051,Domain of unknown function DUF4352,0.18734651692406173,0.0002056984419026543,2,0.22686978544458636,6.442233396745464
IPR025405,Domain of unknown function DUF4131,0.1885306624439617,0.00010582453070519666,1,0.228208971227311,6.416672868330789
IPR010064,"Bacteriophage HK97-gp10, putative tail-component",0.1900100674430941,0.0002066634072282336,2,0.22989176970267142,6.384765765197425
